stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
vienna4_r0c1,214893,130625,73218,28,21,9,3,45,60,0.05880104921222228
vienna4_r0c2,104539,43036,106003,73,11,2,0,26,35,0.053997003949339505
vienna4_r0c3,162417,92806,100473,58,12,4,1,35,44,0.060399793210408406
vienna4_r0c4,272664,187355,99525,24,19,9,1,22,33,0.041042899231119305
vienna4_r1c0,286120,200043,75442,34,25,17,2,35,45,0.0490974205100905
vienna4_r1c1,182850,115671,80416,32,20,5,1,40,56,0.06193974202351299
vienna4_r1c2,435878,259854,32671,22,19,12,2,24,33,0.03082941937587236
vienna4_r1c3,171474,45867,127591,25,13,5,2,16,26,0.10394042817251008
vienna4_r1c4,153242,63597,83446,15,11,1,2,33,45,0.06616747910280249
vienna4_r2c0,352672,269378,46188,24,22,18,0,39,43,0.038231445129930826
vienna4_r2c1,395215,237227,40810,29,23,14,1,25,35,0.03375782881002087
vienna4_r2c2,428117,274331,71907,30,26,22,0,30,34,0.03269518209238425
vienna4_r2c3,221210,73462,130030,18,15,1,6,64,84,0.07559476017114135
vienna4_r2c4,165729,23461,54364,11,10,0,3,22,35,0.13504199320960866
vienna4_r3c0,166730,79703,93824,14,10,4,2,42,50,0.049450875630750964
vienna4_r3c1,426073,243073,70552,24,21,11,2,26,38,0.029802866018299855
vienna4_r3c2,252288,153153,51719,16,14,8,0,22,28,0.050516404607307684
vienna4_r3c3,47985,28969,103527,17,4,1,1,30,34,0.042286696040125256
vienna4_r3c4,34847,11361,315667,17,4,0,1,41,46,0.035375934370250064
vienna4_r4c0,299996,167607,96430,23,19,13,1,23,30,0.04514342843959086
vienna4_r4c1,222305,124625,68413,15,11,6,1,22,28,0.04113289403675357
vienna4_r4c2,2550,12592,46130,7,1,0,0,11,12,0.010355194299075826
vienna4_r4c3,1174,10479,2349,2,1,0,0,39,40,0.011863334387851946
vienna4_r4c4,42768,13821,84636,12,5,0,3,30,38,0.036007644080866326
vienna5_r0c0,403254,137532,54024,31,27,13,2,21,37,0.09251393383674937
vienna5_r0c1,211818,95027,116541,12,9,3,1,41,48,0.06177701815659756
vienna5_r0c2,0,325,135,1,0,0,0,6,6,0.0
vienna5_r0c3,0,190148,0,0,0,0,0,54,54,nan
vienna5_r0c4,0,0,0,0,0,0,0,0,0,nan
vienna5_r1c0,245442,65998,144685,21,16,3,1,29,43,0.06514307419599899
vienna5_r1c1,401317,197074,44181,25,21,13,1,18,27,0.07812741225082868
vienna5_r1c2,142012,34471,130804,20,9,1,2,14,24,0.05432768047446947
